MOTU	C.centralis351_C.centralis351	M.crenulatum496_M.crenulatum496	M.crenulatum497_M.crenulatum497	M.hirsuta488_M.hirsuta488	M.hirsuta489_M.hirsuta489	M.microtis480_M.microtis480	M.nigricans379_M.nigricans379	M.nigricans381_M.nigricans381	M.nigricans383_M.nigricans383	M.nigricans389_M.nigricans389	M.nigricans390_M.nigricans390	M.nigricans394_M.nigricans394	M.nigricans397_M.nigricans397	M.nigricans400_M.nigricans400	M.nigricans403_M.nigricans403	M.nigricans408_M.nigricans408	M.nigricans415_M.nigricans415	M.nigricans421_M.nigricans421	M.nigricans429_M.nigricans429	M.nigricans432_M.nigricans432	M.nigricans434_M.nigricans434	M.nigricans436_M.nigricans436	M.nigricans437_M.nigricans437	M.nigricans441_M.nigricans441	M.nigricans464_M.nigricans464	M.nigricans477_M.nigricans477	P.parnellii481_P.parnellii481	S.bilineata427_S.bilineata427	S.leptura340_S.leptura340	S.leptura341_S.leptura341	S.leptura358_S.leptura358	S.leptura410_S.leptura410
denovo145	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0
denovo147	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	2382	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	0	0	0	0	0	0	0
denovo15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	0	0	0	0	0
denovo151	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15149
denovo153	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
denovo154	0	0	0	0	0	0	0	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo155	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo156	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo157	0	0	0	0	0	0	0	0	0	0	500	0	0	1120	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1157	0	0	0	0	0	0	0	0	0	0
denovo159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0
denovo16	58855	0	0	0	0	0	0	82500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77671	347	0	0	0
denovo160	0	0	0	0	0	0	0	0	0	0	1553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo161	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo162	0	0	0	0	0	142829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
denovo165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506
denovo166	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo167	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo168	1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	0	0	0	0	0	0	0
denovo169	1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2651	0	0	0	0
denovo17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0
denovo170	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo171	0	0	0	0	0	0	0	0	0	0	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0	0	0	0	0	0
denovo174	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo176	0	0	0	0	0	0	0	4310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
