"","Ap","Ct","Em","Eper","Lc","Mv","Mc","Mcil","Mm","Mt","Mvel","My","Nf","Nyma","Ph","Tb"
"41",0,0,0,1,0,0,0,0,3,0,0,1,2,0,1,0
"42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"51",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"54",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,4
"56",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"61",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"63",0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69",0,4,0,3,0,3,0,3,0,5,0,2,2,0,2,2
"70",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"71",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"76",1,2,0,1,0,4,0,4,0,1,0,0,1,0,1,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
"78",0,0,0,1,0,2,0,2,3,2,0,2,5,3,2,9
"79",0,3,0,0,1,0,0,2,0,1,0,0,1,0,0,0
"80",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"83",1,2,0,0,0,2,2,1,0,2,0,0,4,0,0,0
"84",0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"87",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"88",0,3,0,0,0,1,0,2,0,2,0,0,0,0,0,0
"89",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,1,0,0,0,3,0,0,0,2,0,1,1,0,0,0
"91",0,3,0,0,0,1,0,1,0,6,0,0,2,0,0,0
"92",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"93",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3
"95",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"96",2,2,0,0,0,4,0,1,0,7,0,0,2,0,0,2
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"99",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"101",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"103",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"106",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"109",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"110",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112",0,4,0,0,0,0,0,0,0,3,0,0,3,0,1,0
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"114",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"116",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"119",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"121",4,0,0,4,0,2,0,0,5,3,0,2,1,0,0,4
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"123",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"125",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1
"128",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"129",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"130",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"131",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"132",0,4,0,0,0,4,0,0,0,2,0,0,1,0,0,0
"133",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"134",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"136",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"137",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"139",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"142",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"144",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"145",1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"146",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"147",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"148",1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4
"149",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"150",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"151",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"153",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"154",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"156",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"157",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"158",1,0,0,2,0,1,1,0,7,1,0,1,3,3,1,12
"159",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"161",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"162",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"163",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"164",0,2,0,0,0,3,0,0,0,1,0,0,2,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"167",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"168",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"170",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"171",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"172",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,3
"176",1,0,0,2,0,0,0,0,0,2,0,1,0,0,2,0
"177",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"179",0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"181",1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
"182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"184",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",0,5,0,5,0,2,0,3,0,6,0,4,5,0,3,8
"187",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"189",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"191",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"192",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"193",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"195",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"196",1,3,0,0,1,2,0,5,0,7,0,0,1,0,1,0
"197",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"199",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"200",2,1,0,0,0,0,0,0,1,2,1,2,5,0,1,7
"201",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"203",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"204",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"206",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"207",0,0,0,3,0,1,0,0,5,0,0,0,1,2,0,0
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"211",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"213",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"214",0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0
"215",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"216",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"217",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"222",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"225",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"226",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"227",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"228",0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0
"229",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"230",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"231",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"232",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"233",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"235",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"236",0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"237",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"239",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"244",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0
"246",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"248",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"249",0,2,0,0,0,1,0,0,0,2,0,2,5,0,4,14
"250",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"251",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"252",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"255",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"256",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"257",0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0
"258",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"259",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"261",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"263",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"264",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"265",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"266",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"267",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"268",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"269",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"271",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"272",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"273",0,0,0,2,0,3,1,0,2,0,0,1,3,0,0,1
"274",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275",0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0
"276",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"277",0,0,0,0,0,2,2,0,0,1,0,0,3,1,1,5
"278",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"280",0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0
"281",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
"282",1,0,0,2,0,2,0,0,0,1,0,0,1,1,1,4
"283",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"284",0,1,0,0,0,0,0,0,3,0,0,1,3,0,0,0
"285",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"286",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"287",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"288",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"289",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
"291",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"292",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"293",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,1,4,0,0,1,3,0,0,4
"295",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"296",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"297",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"299",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"300",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"301",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"302",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"303",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"305",0,5,0,0,0,4,0,1,0,4,0,0,1,0,0,0
"306",4,1,0,1,0,0,1,0,2,1,0,1,1,0,4,7
"307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"309",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"310",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"311",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"312",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"313",0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
"314",0,2,0,0,1,1,0,1,0,3,0,0,0,0,0,0
"315",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"316",0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"317",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"319",1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"320",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"321",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"324",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"326",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"328",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"329",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"330",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"331",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"332",0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1
"333",0,2,0,0,0,2,0,0,0,4,0,0,1,0,0,0
"334",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"335",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"337",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"338",2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0
"339",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"340",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"342",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"343",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"345",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"346",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"348",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"349",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"350",0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"351",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"352",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"354",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"356",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"357",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"359",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"361",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"362",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"363",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"364",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"365",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"366",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0
"367",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"368",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"369",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"370",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"372",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"375",0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0
"376",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"378",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"379",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"380",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"381",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"382",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"383",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"384",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"385",0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0
"386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"387",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"388",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"389",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"390",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"391",0,5,0,0,0,4,0,1,0,5,0,0,2,0,0,0
"392",1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8
"393",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"394",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"395",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"396",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
